"Date","Link","Tweet","Comment"
"2017-10-11 06:21 AM","https://twitter.com/realdonaldtrump/status/918058910673760258","Stock Market has increased by 5.2 Trillion dollars since the election on November 8th, a 25% increase. Lowest unemployment in 16 years and..",""
"2017-10-11 06:31 AM","https://twitter.com/realdonaldtrump/status/918061437750267904","It would be really nice if the Fake News Media would report the virtually unprecedented Stock Market growth since the election.Need tax cuts",""
"2017-10-16 08:54 AM","https://twitter.com/realdonaldtrump/status/919909494200528897","Since Election Day on November 8, the Stock Market is up more than 25%, unemployment is at a 17 year low & companies are coming back to U.S.",""
"2017-10-16 08:57 AM","https://twitter.com/realdonaldtrump/status/919910256624447493","The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also, record business enthusiasm.",""
"2017-10-17 07:05 AM","https://twitter.com/realdonaldtrump/status/920244350268903424","RT @Scavino45: U.S. MARKETS FROM ELECTION DAY {Since 11/8/2016} 📈 https://t.co/HtjHrznQKJ","video clip of Fox Business: ""DOW CLOSES AT RECORD HIGH"""
"2017-10-17 12:16 PM","https://twitter.com/realdonaldtrump/status/920322631412473856","""Dow Passes 23,000 for the First Time, Fueled by Strong Earnings""
#Dow23K📈https://t.co/wnkrddYlb9 https://t.co/wlP0NCNcou",""
"2017-10-17 07:06 PM","https://twitter.com/realdonaldtrump/status/920425695507042305","WOW! https://t.co/eKfRktNVuy","includes an animation titled “DOW PASSES 23,000 FOR THE FIRST TIME”"
"2017-10-18 06:49 PM","https://twitter.com/realdonaldtrump/status/920783976784171008","""20,000📈21,000📈22,000📈 23,000📈this year...FOUR one thousand milestones this year..."" 
#Dow23K #MAGA https://t.co/GQ5f2eVvEI","video clip of Fox Business: ""DOW CLOSES ABOVE 23,000 54 DAYS SINCE DOW CLOSED ABOVE 22,000"""
"2017-10-21 09:14 AM","https://twitter.com/realdonaldtrump/status/921726400922619904","Stock Market hits another all time high on Friday. 5.3 trillion dollars up since Election. Fake News doesn't spent much time on this!",""
"2017-10-21 08:09 PM","https://twitter.com/realdonaldtrump/status/921891186352287744","...2nd Amendment, Strong Military, ISIS, historic VA improvement, Supreme Court Justice, Record Stock Market, lowest unemployment in 17 yrs!",""
