Studio,Movie,Year,Movie Link,Character,Character Link,Image,Height,Width,Princess,Comment
Walt Disney Feature Animation,Atlantis: The Lost Empire,2001,https://www.imdb.com/title/tt0230011/,Kida,https://disney.fandom.com/wiki/Kida_Nedakh,https://matthewvaneerde.files.wordpress.com/2011/08/kida.jpg,200,200,Yes,King’s Daughter; Queen
Studio Ghibli,Tales from Earthsea,2006,http://www.imdb.com/title/tt0495596/,Therru,https://disney.fandom.com/wiki/Therru,https://matthewvaneerde.files.wordpress.com/2011/08/therru.jpg,261,200,No,Prince’s Girlfriend
Studio Ghibli,Ponyo,2008,http://www.imdb.com/title/tt0876563/,Ponyo,https://disney.fandom.com/wiki/Ponyo,https://matthewvaneerde.files.wordpress.com/2011/08/ponyo.jpg,244,223,Yes,Queen’s Daughter
Walt Disney Animation Studios,The Princess and the Frog,2009,http://www.imdb.com/title/tt0780521/,Tiana,https://disney.fandom.com/wiki/Tiana,https://matthewvaneerde.files.wordpress.com/2011/08/tiana.jpg,275,200,Yes,Prince's Wife
Walt Disney Animation Studios,The Princess and the Frog,2009,http://www.imdb.com/title/tt0780521/,Charlotte,https://disney.fandom.com/wiki/Charlotte_La_Bouff,https://matthewvaneerde.files.wordpress.com/2011/08/charlotte.png,158,200,Yes,King's Daughter
Walt Disney Animation Studios,Tangled,2010,http://www.imdb.com/title/tt0398286/,Rapunzel,https://disney.fandom.com/wiki/Rapunzel,https://matthewvaneerde.files.wordpress.com/2011/08/rapunzel.jpg,183,200,Yes,King & Queen’s Daughter
Pixar Animation Studios,Brave,2012,http://www.imdb.com/title/tt1217209/,Merida,https://disney.fandom.com/wiki/Merida,https://matthewvaneerde.files.wordpress.com/2011/08/merida.png,288,237,Yes,King & Queen’s Daughter
Walt Disney Animation Studios,Wreck-It Ralph,2012,http://www.imdb.com/title/tt1772341/,Vanellope von Schweetz,https://disney.fandom.com/wiki/Vanellope_von_Schweetz,https://matthewvaneerde.files.wordpress.com/2011/08/vanellope-von-schweetz.png,241,200,Yes,Princess
Walt Disney Animation Studios,Frozen,2013,http://www.imdb.com/title/tt2294629/,Anna,https://disney.fandom.com/wiki/Anna,https://matthewvaneerde.files.wordpress.com/2011/08/anna.png,259,200,Yes,King & Queen’s Daughter; Queen?
Walt Disney Animation Studios,Frozen,2013,http://www.imdb.com/title/tt2294629/,Elsa,https://disney.fandom.com/wiki/Elsa,https://matthewvaneerde.files.wordpress.com/2011/08/elsa.png,323,200,Yes,King & Queen’s Daughter; Queen
Walt Disney Animation Studios,Moana,2016,https://www.imdb.com/title/tt3521164/,Moana,https://disney.fandom.com/wiki/Moana_(character),https://matthewvaneerde.files.wordpress.com/2011/08/moana.png,368,200,Yes,Chief’s Daughter
